Num;Sentence;subj_verb_obj;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;V29;V30;V31;V32;V33;V34;V35;V36;V37;V38;V39;V40;V41;V42;V43;V44;V45;V46;V47;V48;V49;V50;V51;V52;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68;V69;V70;V71;V72;V73;V74;V75;V76;V77;V78;V79;V80;V81;V82;V83;V84;V85;V86;V87;V88;V89;V90
1;The.accident.damaged.the.yellow.car.;accident.damaged.car;0.66788;-0.257214;0.0886298;-0.0282126;-0.0142963;0.055593;-0.0517328;-0.0323895;0.00546188;0.0523178;0.0503736;-0.0156155;-0.0727409;0.0498211;0.0311726;-0.00204327;-0.0936415;0.0477323;0.0238335;0.118755;-0.101619;0.0345784;0.00660441;0.11589;-0.0417841;-0.0743914;0.00836859;0.0905356;-0.0108773;0.119381;0.619513;-0.321095;-0.237058;0.0757577;0.0763007;0.0740803;0.118033;0.0637259;-0.118439;-0.0166584;-0.0276168;0.0306681;-0.0194218;0.026115;0.0327833;-0.0816551;0.0744167;0.0563381;0.0214664;0.00847154;0.0329247;0.00643437;0.00600842;-0.0356698;-0.0380595;0.05855;-0.0398333;0.00364908;0.0259622;0.0408935;0.707318;-0.105716;0.106381;-0.0075218;0.0136277;0.00525222;0.00590947;-0.239724;-0.0224807;0.184663;-0.119628;0.060098;-0.0937337;0.0254147;0.0553881;-0.0638771;0.00156762;0.0362097;-0.0059834;0.0166894;0.00771654;0.0601862;0.0353202;-0.012905;0.0440239;0.00726626;-0.0313224;-0.0369707;0.0478806;0.0637404
2;The.accident.destroyed.the.empty.lab.;accident.destroyed.lab;0.66788;-0.257214;0.0886298;-0.0282126;-0.0142963;0.055593;-0.0517328;-0.0323895;0.00546188;0.0523178;0.0503736;-0.0156155;-0.0727409;0.0498211;0.0311726;-0.00204327;-0.0936415;0.0477323;0.0238335;0.118755;-0.101619;0.0345784;0.00660441;0.11589;-0.0417841;-0.0743914;0.00836859;0.0905356;-0.0108773;0.119381;0.53749;-0.353364;-0.456495;0.10515;0.00989743;-0.0129782;0.176596;0.0704341;-0.176472;0.0077791;0.0502073;-0.00764447;-0.139395;-0.033797;-0.00922259;-0.0792422;0.0473502;0.0409416;0.0505148;-0.0577642;0.0359606;-0.0400354;-0.00368578;-0.0600033;-0.0411885;0.01187;-0.00752543;0.0173727;0.0658924;0.05359;0.750487;-0.0959956;0.120355;0.0148752;-0.0416685;0.0303746;-0.0167457;-0.190315;-0.0132096;0.113318;0.0210946;-0.0299308;-0.0489293;0.0287316;0.0649173;-0.0801815;-0.0118486;0.0113795;0.0280186;0.0316257;0.0344609;0.0251414;0.0319493;-0.0129237;-0.0020354;-0.020205;-0.000107074;0.0162664;0.0722128;-0.0234159
3;The.activist.dropped.the.new.cellphone.;activist.dropped.cellphone;0.63307;-0.160506;0.0334199;-0.0621368;-0.0660231;0.00416995;-0.0157943;-0.0764549;-0.0513001;0.0343447;0.0405415;-0.00327583;0.00819917;0.0374873;-0.0410242;0.0466;-0.0776491;0.00432524;0.0834228;0.0579332;-0.0942016;-0.0168108;0.0389138;0.0994558;0.00022551;-0.0832206;0.119272;0.118606;-0.0752023;0.0880852;0.60601;-0.300774;-0.446424;0.113901;-0.0838881;-0.0687613;0.116425;-0.0376172;-0.128523;0.0798084;0.111057;-0.0376607;-0.105173;-0.0450039;0.0011512;-0.0579685;-0.0371211;0.00869002;0.00373636;-0.0858284;0.0861584;-0.0989565;-0.000287225;-0.0845259;-0.0306834;-0.0310855;-0.0617963;-0.00696778;0.089411;0.095353;0.640853;-0.110597;0.0913762;-0.00379492;0.00105276;0.0266661;-0.00973726;-0.11726;-0.013125;0.0531558;-0.153522;-0.0195992;0.02342;0.0639666;-0.0524467;-0.0237275;0.0430704;-0.00489742;-0.0250655;0.0284286;0.0353479;0.0288959;0.0655624;-0.0084086;0.0516214;0.0785108;-0.0139369;0.0135106;0.07695;0.0896804
4;The.activist.listened.to.the.tired.victim.;activist.listened.;0.63307;-0.160506;0.0334199;-0.0621368;-0.0660231;0.00416995;-0.0157943;-0.0764549;-0.0513001;0.0343447;0.0405415;-0.00327583;0.00819917;0.0374873;-0.0410242;0.0466;-0.0776491;0.00432524;0.0834228;0.0579332;-0.0942016;-0.0168108;0.0389138;0.0994558;0.00022551;-0.0832206;0.119272;0.118606;-0.0752023;0.0880852;0.493125;-0.239861;-0.449433;0.0942827;-0.157209;-0.160202;0.0685335;-0.0119847;-0.0444709;-0.0017222;0.125065;-0.00588083;-0.0195332;-0.0844364;-0.129983;-0.0391651;-0.00412988;-0.0414517;-0.0591609;-0.141754;0.0837022;-0.154715;0.0188011;-0.0481087;0.0216922;-0.0645044;-0.0615016;0.0114889;0.0724882;0.0992618;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;The.activist.marched.at.the.trial.;activist.marched.;0.63307;-0.160506;0.0334199;-0.0621368;-0.0660231;0.00416995;-0.0157943;-0.0764549;-0.0513001;0.0343447;0.0405415;-0.00327583;0.00819917;0.0374873;-0.0410242;0.0466;-0.0776491;0.00432524;0.0834228;0.0579332;-0.0942016;-0.0168108;0.0389138;0.0994558;0.00022551;-0.0832206;0.119272;0.118606;-0.0752023;0.0880852;0.526196;-0.197188;-0.345213;-0.01012;-0.146401;-0.149522;0.0447538;-0.0269771;-0.0827963;0.00776255;0.169862;0.0443278;0.0193204;-0.207248;-0.0839552;-0.0143746;-0.105242;-0.0888578;-0.0446129;-0.141088;0.0737752;-0.107701;0.021149;-0.0600965;-0.0102392;-0.0406138;-0.015119;0.0286763;0.0326691;0.0692935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;The.actor.gave.the.football.to.the.team.;actor.gave.football;0.702425;-0.0848734;0.0380734;-0.0211855;-0.00568876;0.0174844;-0.021045;-0.0364516;0.0280691;0.112645;0.034084;-0.112125;-0.00219783;0.0688245;-0.0907907;-0.00721445;-0.119071;0.0278406;0.0802108;0.130806;-0.0708574;-0.0643959;-0.0199301;0.065807;-0.0246603;-0.0494216;0.0235559;0.0910388;-0.0976422;0.0681861;0.596056;-0.198773;-0.352533;-0.00492392;-0.169475;-0.23301;-0.060059;-0.176857;-0.00265482;0.128663;0.163484;-0.0643828;-0.0167834;-0.172329;0.0046626;0.00793081;-0.225876;-0.115713;-0.00833485;-0.0890358;0.0669294;-0.13386;0.0593759;-0.00206819;0.0142408;-0.0888158;-0.0618673;-0.0286095;0.0148742;0.0188781;0.672725;-0.0500135;0.0363916;-0.021841;-0.0255799;-0.00975377;-0.0528974;-0.211283;-0.0416431;0.176396;-0.0576423;0.0484742;-0.114888;0.0542999;-0.0062411;-0.0111756;-0.00649728;0.0245629;-0.0424047;-0.0366947;0.00156084;0.00379137;-0.00308579;-0.0317347;0.0185374;-0.0394016;0.027651;0.0174224;-0.0206366;0.0369348
7;The.aggressive.team.took.the.baseball.;team.took.baseball;0.732108;-0.213574;0.115542;-0.00394773;-0.0867165;0.03857;0.0171291;-0.248887;0.0234935;0.194783;-0.00137834;-0.00582431;-0.0967939;0.0517564;0.0704084;-0.0138019;-0.0819785;0.0037408;0.0669121;0.0154038;0.0262833;0.0543758;0.0409432;-0.0522495;0.0644134;-0.0148793;0.0175689;0.0734513;0.0610161;0.00948231;0.591716;-0.180532;-0.331042;0.00968587;-0.201188;-0.222543;-0.053673;-0.196156;-0.0145284;0.138701;0.175753;-0.05809;-0.039996;-0.161241;0.00706317;-0.00182318;-0.219811;-0.129839;-0.0327277;-0.0843034;0.0719216;-0.12501;0.0394088;-0.00511847;0.010661;-0.0726329;-0.0575252;-0.0298494;-0.00176015;0.017826;0.686654;-0.0486563;0.0269865;-0.0234384;0.0348211;-0.00276805;-0.0454109;-0.178046;-0.0212342;0.161434;-0.0840313;0.0346869;-0.0839489;0.0794056;-5.75496e-05;-0.0066129;-0.0252142;0.0492982;-0.0502939;-0.0574183;0.0229674;0.00611969;0.00465848;-0.0228356;0.00497437;-0.0475195;0.0116999;-0.00263654;-0.00925803;0.0169539
8;The.angry.activist.broke.the.chair.;activist.broke.chair;0.63307;-0.160506;0.0334199;-0.0621368;-0.0660231;0.00416995;-0.0157943;-0.0764549;-0.0513001;0.0343447;0.0405415;-0.00327583;0.00819917;0.0374873;-0.0410242;0.0466;-0.0776491;0.00432524;0.0834228;0.0579332;-0.0942016;-0.0168108;0.0389138;0.0994558;0.00022551;-0.0832206;0.119272;0.118606;-0.0752023;0.0880852;0.592551;-0.253598;-0.339088;0.0414764;-0.129422;-0.143416;0.0748954;-0.12332;-0.018647;0.0837783;0.0807574;-0.0406099;-0.0241478;-0.10859;-0.0337665;0.00484278;-0.17435;-0.0624902;-0.025702;-0.0835396;0.0589615;-0.124169;0.0292501;0.022185;0.000308013;-0.0589485;-0.065089;-0.0179672;-0.0032958;0.0506847;0.741187;-0.146698;0.0861249;-0.0311608;-0.0457532;0.0233339;0.0531469;-0.0733284;0.0605788;0.142509;0.0152424;0.0474084;0.0153937;-0.0526698;0.0114964;-0.0862921;-0.0791232;0.0409124;0.0242277;0.0174795;0.0276231;0.061131;0.00289487;-0.0346277;0.00997857;-0.0448603;0.0189146;0.0251137;0.0732522;-0.00732491
9;The.angry.child.threw.the.book.;child.threw.book;0.760181;-0.330225;0.113829;0.0148104;0.00721514;0.104468;-0.0254745;-0.102613;0.0525475;0.125666;-0.0901222;-0.0278753;0.0118054;0.0101469;0.0693188;0.0387029;-0.0282322;0.0196929;0.00805015;0.0115771;0.017862;-0.0047662;0.105474;-0.0643497;0.0619068;-0.0243264;-0.00648995;0.0592235;0.0960891;0.0587266;0.570104;-0.166448;-0.344666;-0.0253767;-0.173337;-0.244115;-0.00621264;-0.0917973;-0.011688;0.0496411;0.103818;-0.0497673;0.0523062;-0.207407;-0.0781662;0.0140487;-0.171734;-0.103161;-0.0550758;-0.134087;0.0771759;-0.134278;0.0534392;0.0169386;-0.0160853;-0.104289;-0.0665433;-0.0390278;0.0180945;0.0440048;0.7333;-0.175474;0.0871558;0.0285537;-0.0632605;0.0459813;0.0011436;-0.231332;0.103095;0.210272;-0.0443147;0.0134725;-0.0750597;0.0467591;-0.0130647;-0.0129554;-0.0497151;-0.00859032;0.0188969;0.0240335;0.0108582;0.0212775;0.0261972;0.0349891;0.00535143;-0.0195459;0.0244095;-0.00534251;0.0389991;0.0153963
10;The.angry.lawyer.left.the.office.;lawyer.left.office;0.596877;-0.186188;0.086593;-0.0194616;-0.071088;0.0461226;0.0715307;-0.105964;0.0701449;0.206373;-0.134381;0.0416367;-0.00537524;-0.00320275;0.0993142;-0.0216152;0.032624;-0.101345;0.0255775;0.00800992;-0.00327823;0.0267813;0.0755049;-0.087278;0.0854899;0.000866693;0.0553259;0.0873138;-0.0339636;0.0854078;0.733791;-0.260137;-0.148585;0.0929988;-0.129201;0.00745299;0.0410748;-0.030631;0.0229249;0.0970578;0.097025;-0.0177636;-0.108753;-0.0114661;-0.0692613;-0.0627299;-0.0121947;0.0494054;-0.0869811;-0.0302235;0.0565421;-0.00444056;-0.0410479;-0.0483359;0.0048723;-0.0279819;-0.0930464;-0.0265355;0.0963095;0.0322271;0.704026;-0.154358;0.103877;-0.0232805;-0.010185;-0.0254704;-0.123834;-0.206791;-0.0604981;0.170789;0.0532331;0.0173031;-0.138118;0.0209371;-0.0084579;-0.0781066;-0.0401279;0.0300791;0.0730929;0.0484347;-0.0356972;0.0495337;0.0702817;-0.00805798;0.00966957;-0.0320996;0.0654613;0.0586592;0.0685627;0.033908
